feature_id,area,feature_name,user_story,expected_behaviour,how_to_test,spec_ref,code_ref,status,error_notes,fix_ref,retest_status
launch-risk-broad-workspace,launch,Risk confirmation prompt for BroadWorkspace ($HOME or /),"As a user, I want to be warned before resuming a session whose recorded Workspace is my entire home directory or filesystem root, since resuming there could be surprising.","`broad_workspace_risk` sets `RiskStatus::BroadWorkspace` when `workspace == Path::new(""/"") || workspace == home` (src/scope.rs), applied by every integration's discovery (`session.risk = crate::scope::broad_workspace_risk(...)` in claude/codex/omp discovery, src/app.rs (claude), (codex); pi/omp use `risk_status` similarly); `risk_reasons` surfaces `""Workspace is broad""` (src/launch.rs).","Discover a session whose recorded cwd is exactly $HOME (or /), select it, and confirm the risk prompt shows 'Workspace is broad'.",§6 Confirmation,src/scope.rs:347 (broad_workspace_risk); src/launch.rs:143 (risk_reasons); src/app.rs:893 (home),Pass,,,Pass
launch-risk-workspace-changed,launch,RiskStatus::WorkspaceChanged is modeled but never assigned by current discovery,"As a user, I expect a documented WorkspaceChanged risk category to exist for sessions whose workspace evidence has changed since discovery, but no current integration actually assigns this status (it is caught separately by revalidate-before-exec).","`RiskStatus::WorkspaceChanged` exists in the enum and `risk_reasons` handles it (src/session.rs, src/launch.rs), but grep across all four integrations shows no discovery path ever constructs it — WorkspaceChanged as a *risk* is currently unreachable; the equivalent real-world case is instead caught at exec time by `launch::revalidate` returning `RevalidationError::WorkspaceChanged` (src/launch.rs), independently of this risk field (documented as a known gap in docs/review/round-1-sonnet.md finding #3).",Attempt to construct a Session with risk = RiskStatus::WorkspaceChanged via test code and confirm risk_reasons surfaces 'Workspace changed'; separately confirm no live discovery flow ever produces this value (verify by code inspection / a targeted unit test on each integration's risk computation).,§6 Resume safety and process handoff,src/launch.rs:143 (risk_reasons); src/launch.rs:511 (session); src/session.rs:180 (session),Pass,,,Pass
launch-risk-conflicting-metadata,launch,RiskStatus::ConflictingMetadata is modeled but never assigned by current discovery,"As a user, I expect a documented ConflictingMetadata risk category to exist for sessions with disagreeing evidence, but no current integration actually assigns this status in v0.1.0.","`RiskStatus::ConflictingMetadata` exists in the enum and `risk_reasons` surfaces `""metadata conflicts""` (src/session.rs, src/launch.rs), but no discovery path in pi/claude/codex/omp ever constructs it (documented as unreachable functionality in docs/review/round-1-sonnet.md finding #3).",Construct a Session with risk = RiskStatus::ConflictingMetadata via test code and confirm risk_reasons surfaces 'metadata conflicts'; confirm no live discovery flow currently produces this value.,§6 Resume safety and process handoff,src/launch.rs:143 (risk_reasons); src/launch.rs:511 (session); src/session.rs:180 (session),Pass,,,Pass
launch-confirm-always-forces-prompt,launch,confirm_always forces a confirmation prompt even for a risk-free session,"As a user who wants confirmation on every Resume regardless of risk, I want a synthetic 'confirmation requested' reason to appear when there is otherwise no risk.","`risk_reasons` appends `""confirmation requested""` only `if confirm_always && reasons.is_empty()` (src/launch.rs), so a normal-risk session still gets a non-empty reasons list and thus a prompt under `--confirm-always`.",Select a normal-risk session with `--confirm-always` set and confirm the prompt shows 'Risk: confirmation requested'.,§6 Confirmation,src/launch.rs:143 (risk_reasons); src/launch.rs:511 (session),Pass,,,Pass
launch-confirm-prompt-format,launch,Confirmation prompt format: 'Resume <id> in <workspace>?' plus Risk line and y/N,"As a user, I want the confirmation prompt to clearly state which session and workspace I'm about to resume, and only proceed on an explicit 'y'/'yes'.","`confirm()` writes `Resume {id:?} in {workspace}?`, then a `Risk: <reasons joined by "", "">` line if reasons are non-empty, then `Continue? [y/N] `, and only returns `Ok(true)` for trimmed lowercase input `""y""` or `""yes""` — anything else (including empty/Enter) is a refusal (src/launch.rs), tested by `refusal_is_default` (src/launch.rs).","At the confirmation prompt, press Enter with no input and confirm the resume is refused (exit 0, no launch); then answer 'y' and confirm the resume proceeds.",§6 Confirmation,src/launch.rs:1100 (refusal_is_default); src/launch.rs:166 (confirm),Pass,,,Pass
launch-confirm-refusal-exit0,launch,Declining the confirmation prompt exits 0 without resuming,"As a user, I want to be able to back out at the confirmation prompt without it being treated as an error.",`resume_selected` returns `EXIT_OK` on `Ok(false)` from `launch::confirm` (src/app.rs).,"At the confirmation prompt, answer 'n' (or anything other than y/yes) and confirm the process exits 0 with no session launched.",§6 Exit status,src/app.rs:457 (resume_selected); src/app.rs:31 (EXIT_OK),Pass,,,Pass
launch-revalidate-cli-unavailable,launch,Revalidation blocks resume when the agent CLI has disappeared,"As a user, I want resume to detect that the target agent's CLI binary is no longer installed/executable before it tries to exec it, and to fail with a clear message rather than a confusing exec error.","`revalidate` checks `command_available(&spec.program)` (searching PATH or, for a path-like program, checking executability directly) and returns `Err(RevalidationError::CliUnavailable)` -> displayed as ""agent CLI is no longer available"" (src/launch.rs (revalidate), (command_available)), regression-tested by `cli_disappearing_before_exec_is_rejected` which removes the CLI file between capture and revalidate (src/launch.rs).","Discover a session, then remove/rename the corresponding agent binary from PATH, select the session, and confirm resume refuses with 'agent CLI is no longer available' and exits EXIT_ERROR (1).",§5 Search,src/launch.rs:119 (revalidate); src/launch.rs:97 (command_available),Pass,,,Pass
launch-revalidate-transcript-changed,launch,Revalidation blocks resume when the transcript identity changed since selection,"As a user, I want resume to detect if the selected session's transcript file was modified or replaced between picker selection and exec time, and refuse rather than resume stale/wrong data.","`revalidate` re-reads `FileIdentity::read(&evidence.transcript)` and compares dev/ino/len/modified against the captured `LaunchEvidence`, returning `Err(RevalidationError::TranscriptChanged)` on any mismatch (src/launch.rs (compare), (FileIdentity::read)), regression-tested by `detects_transcript_and_workspace_replacement` which rewrites the transcript file's contents post-capture (src/launch.rs).","Discover and select a session in the picker, then edit/overwrite the underlying transcript.jsonl file before confirming, and confirm resume refuses with 'transcript identity changed after selection'.",§6 Resume safety and process handoff,src/launch.rs:53 (read); src/launch.rs:119 (revalidate),Pass,,,Pass
launch-revalidate-workspace-unavailable,launch,Revalidation blocks resume when the Workspace directory disappeared,"As a user, I want resume to detect that the Workspace directory was deleted between selection and exec, and refuse rather than exec into a missing directory.",`revalidate` returns `Err(RevalidationError::WorkspaceUnavailable)` when `FileIdentity::read(&spec.cwd)` fails (src/launch.rs).,"Select a session, delete its recorded workspace directory before confirming, and confirm resume refuses with 'Workspace is no longer available'.",§2 Support states,src/launch.rs:119 (revalidate); src/launch.rs:53 (read),Pass,,,Pass
launch-revalidate-workspace-changed,launch,"Revalidation blocks resume when the Workspace was replaced (same path, different directory)","As a user, I want resume to detect that the workspace directory at the recorded path was replaced (e.g. removed and recreated) between selection and exec, so a stale identity isn't silently reused.","`revalidate` compares the freshly-read `FileIdentity` of `spec.cwd` against the captured `evidence.workspace_identity` and also checks `spec.cwd != evidence.workspace`, returning `Err(RevalidationError::WorkspaceChanged)` on mismatch (src/launch.rs), regression-tested by `detects_transcript_and_workspace_replacement`'s second half, which removes and recreates the workspace directory (src/launch.rs).","Select a session, then `rmdir` and recreate its recorded workspace directory (same path, new inode) before confirming, and confirm resume refuses with 'Workspace was replaced after selection'.",§6 Resume safety and process handoff,src/launch.rs:119 (revalidate); src/launch.rs:1115 (detects_transcript_and_workspace_replacement),Pass,,,Pass
launch-revalidate-unsupported,launch,Revalidation blocks resume for a Session whose support status is not Supported,"As a user, I want resume to refuse to resume a session that isn't fully Supported (e.g. Discover Only), rather than attempting a broken launch.","`revalidate` immediately returns `Err(RevalidationError::Unsupported)` if `session.support != SupportStatus::Supported` (src/launch.rs); separately, `resume_selected` also checks support before even calling revalidate and exits EXIT_USAGE with 'selected Session is unavailable' if not Supported (src/app.rs (now routes through the unified errors::E3003 catalog — exit code unchanged at 2)).",Select a Discover Only session (e.g. a Claude transcript with disagreeing filename/sessionId but a recorded cwd) and confirm resume refuses cleanly rather than attempting to exec.,§6 Exit status,src/launch.rs:119 (revalidate); src/app.rs:457 (resume_selected); src/launch.rs:511 (session),Pass,,,Pass
launch-revalidate-before-confirm,launch,Revalidation always runs before the confirmation prompt and before exec,"As a user, I want stale/broken sessions caught before I'm even asked to confirm, so I never see a misleading confirmation prompt for something that can't actually be resumed.","`resume_selected` calls `launch::revalidate` immediately after the support check and before computing `risk_reasons`/calling `should_confirm` (src/app.rs (support, revalidate, risk/confirm, exec)): revalidate -> risk_reasons/confirm -> exec, in that exact order.","Trigger any revalidation failure condition (CLI removed, transcript changed, workspace changed/removed) and confirm no confirmation prompt is ever shown — resume fails immediately with the revalidation error.",§6 Confirmation,src/app.rs:457 (resume_selected),Pass,,,Pass
launch-exec-native-argv,launch,"exec replaces the current process via native program/argv, never a shell string","As a user, I want resume to hand off to the agent CLI directly (replacing its own process image) using discrete argv, so there's no shell injection risk and no wrapper process left behind.","`launch::exec` (unix) builds `std::process::Command::new(&spec.program).args(&spec.argv).current_dir(&spec.cwd)`, sets each `spec.env` pair, and calls `.exec()` from `CommandExt`, which replaces the process image in place; if `exec()` returns at all, it is always an error, which `resume_selected` reports before returning `EXIT_ERROR` (src/launch.rs, src/app.rs).","Resume a session and, from a shell, confirm the resume process's PID is inherited by the launched agent CLI (e.g. via `exec` semantics, not a child process) using `ps`/`exec`-tracing tools.",§6 Resume safety and process handoff,src/launch.rs:496 (exec); src/app.rs:457 (resume_selected); src/app.rs:32 (EXIT_ERROR),Pass,,,Pass
launch-exec-env-preservation,launch,exec preserves each integration's isolation environment overrides,"As a user with a nondefault agent config root (CLAUDE_CONFIG_DIR, CODEX_HOME, PI_CONFIG_DIR) or a custom Pi/OMP session dir, I want resume's exec to preserve that override so the resumed agent looks in the same place resume did.","Each `ResumeSpec.env` is populated per-integration only when nondefault (Claude: `resume_spec` adds `CLAUDE_CONFIG_DIR` iff `root.nondefault`, src/integration/claude/resume.rs; Codex: adds `CODEX_HOME` iff `!is_default_root(...)`, src/integration/codex/resume.rs; OMP: `resume_env` propagates `PI_CONFIG_DIR` iff `roots.config_root_overridden`, src/integration/omp/resume.rs). CORRECTED: OMP does NOT 'always' propagate PI_CONFIG_DIR (the CSV's original wording was inaccurate) — it uses the same nondefault-only discipline as Claude and Codex, propagating only when an explicit config-root override was set at discovery time; `launch::exec` applies all `spec.env` pairs before exec (src/launch.rs).","Set CLAUDE_CONFIG_DIR to a nondefault path, discover and resume a Claude session, and confirm (e.g. via a fake claude CLI script that echoes env) that CLAUDE_CONFIG_DIR is set to the same nondefault path in the launched process.",§2 Agent profiles and roots,src/integration/claude/resume.rs:9 (resume_spec); src/integration/codex/resume.rs:17 (resume_spec); src/integration/omp/resume.rs:12 (resume_spec),Pass,,,Pass
session-status-supported-active,session,SUPERSEDED: `status_label` (ACTIVE/READY/DISCOVER/etc. text column) was removed; Supported+Active is now visible only via JSON `support`/`activity` fields,"As a user scanning the picker, I previously relied on an ACTIVE status label; I want to know that label no longer exists so I don't look for it in --list/picker output, and instead check `--json`'s `support`/`activity` fields for the same signal.","`status_label` no longer exists anywhere in `src/app.rs` (confirmed by repo-wide grep, 0 matches) — it was removed when the row format changed to `UPDATED AGENT[PROFILE] TITLE BRANCH` (commit 3877fe1, see `picker-row-format`). A Supported+Active session is still fully distinguishable via `--json`'s `support: ""Supported""` and `activity: ""Active""` fields (src/app.rs `JsonSession`), just never as inline list/picker text.",Run `resume --json` against a Supported+Active session fixture and confirm `support`/`activity` reflect it; confirm `resume --list` shows only UPDATED/AGENT/TITLE/BRANCH with no status text.,§6 Active Sessions,src/app.rs:1130 (JsonSession),Pass,,"src/app.rs (activity_label) + (json_session): --json now emits the bare Active/Inactive/Unknown label instead of ActivityStatus' Debug rendering, which leaked Rust struct syntax and a wall-clock time; regression test src/app.rs (json_activity_is_the_bare_label_for_every_variant)",Pass
session-status-supported-ready,session,Supported + non-Active session is distinguishable in JSON,"As a user, I previously relied on a READY status label distinguishing a resumable session with no active-use evidence; I want to know that label no longer exists in --list/picker text, and instead check `--json`'s fields.","There is no READY status text in the picker or `--list`; the row format is `UPDATED AGENT[PROFILE] TITLE BRANCH` only. A Supported, non-Active session is distinguishable through `--json`, whose `support` field reads ""Supported"" and whose `activity` field is not ""Active"". `SupportStatus` and `ActivityStatus` are the two independent enums behind those fields, per product-design.md §6 (""Active Detection is optional per integration and does not affect Supported status"").","Run `resume --json` against a fixture with a healthy Supported session and confirm the object carries support=""Supported"" and an activity value other than ""Active""; confirm `resume --list` prints no status word for the same session.",§6 Active Sessions,src/session.rs:35 (SupportStatus); src/session.rs:43 (ActivityStatus); src/app.rs:1130 (JsonSession),Pass,,,Pass
session-status-discover-only,session,Discover Only sessions are reported through the JSON support field,"As a user, I previously relied on a DISCOVER status label for sessions that could not be confirmed safely resumable; I want to know that label no longer exists in --list/picker text, and instead check `--json`'s `support` field.","A session whose exact Resume cannot be guaranteed is assigned `SupportStatus::DiscoverOnly` by its integration (for example Claude's parse path when the embedded sessionId disagrees with the filename UUID). No DISCOVER text is rendered in the picker or `--list`; the state is visible through `--json`'s `support` field, and per product-design.md §2 only Supported sessions may Resume.","Build a Claude fixture whose embedded sessionId disagrees with its filename UUID, run `resume --json`, and confirm that session reports support=""DiscoverOnly""; confirm selecting it in the picker refuses to Resume.",§2 Support states,src/session.rs:35 (SupportStatus); src/app.rs:1130 (JsonSession),Pass,,,Pass
session-status-unsupported,session,SupportStatus::Unsupported is a reserved variant with no production assignment,"As a user, I previously relied on an UNSUPPORTED status label; I want to know that label no longer exists in --list/picker text, and that the underlying `SupportStatus::Unsupported` variant is still never constructed by any integration in v0.1.0.","`SupportStatus::Unsupported` is modeled but never constructed by production code: the only reference outside the enum is inside `src/app.rs`'s `mod tests` (which begins). The four shipped integrations only ever assign Supported, DiscoverOnly, or Unavailable. CONTEXT.md:45 documents it as reserved for a future integration that fails validation entirely, so its absence from output is intended rather than a gap.","`grep -rn 'SupportStatus::Unsupported' src` and confirm every non-test hit is either the enum declaration or a match-arm pattern (`SupportStatus::Unsupported => ...`) that only formats an already-existing value; confirm no fixture can make `resume --json` emit `support: ""Unsupported""`.",§2 Support states,src/session.rs:35 (SupportStatus),Pass,,,Pass
session-status-unavailable,session,A gone Workspace reads as Unavailable via JSON `support` and a scoped `--list`/picker `[Unavailable]` suffix,"As a user, I want a session whose Workspace directory no longer exists to be visibly flagged in `--list`/the picker (not just in `--json`), so that I don't try to resume into a directory that's gone -- and I want that flag to appear only on the affected row, never on unrelated Sessions.","`normalize_availability` (src/app.rs) assigns `SupportStatus::Unavailable` whenever the recorded workspace directory doesn't exist, surfaced via `--json`'s `support: ""Unavailable""`. `support_label` (src/app.rs) also appends a ` [Unavailable]` suffix to that Session's `--list`/picker row (alongside ` [Unsupported]`/` [DiscoverOnly]` for the other non-Supported statuses); every other row's `support` stays `Supported` and carries no suffix, so the flag is scoped to the affected Session only.","Delete the workspace directory of a previously discovered session, run `resume --json` and confirm `support: ""Unavailable""` for it; run `resume --list` and confirm only that Session's row ends in `[Unavailable]`, and no other (still-resolvable) Session's row does.",§7 List mode,src/app.rs:874 (normalize_availability); src/app.rs:928 (support_label),Pass,,,Pass
session-activity-unknown-default,session,Activity is Unknown without positive evidence; never falsely Inactive,"As a user, I want resume to avoid declaring a session Inactive when correlation evidence is absent.","Pi and Claude still receive no producer evidence and remain Unknown by default. CORRECTED: OMP now DOES receive producer evidence via `correlate_live` (src/integration/omp/activity.rs, wired at src/app.rs) and can report Active. Codex `activity_status` returns Unknown unless its shared probe snapshot confirms the exact rollout by path or device/inode (src/integration/codex/activity.rs). Core guarantee holds: the default/fallback is always Unknown, and no integration ever returns `Inactive` — only `Active` or `Unknown`.","Run resume --json with no live agent processes (or with RESUME_DISABLE_PROC_PROBE set) and confirm every session's activity is Unknown, never Inactive. Separately confirm a live Codex/OMP process holding an open session produces Active.",§3 Session identity and metadata,src/integration/omp/activity.rs:157 (correlate_live); src/integration/codex/activity.rs:98 (activity_status); src/integration/omp/activity.rs:19 (activity_status),Pass,,,Pass
codex-active-detection,codex,Codex open-rollout detection is process-first and O(1) in subprocesses,"As a Codex user, I want a rollout held open by a live Codex process marked Active without one subprocess per session.","src/integration/codex/activity.rs executes one fixed-argv lsof probe before discovery threads, parses records with per-PID isolation, and shares an indexed ActivitySnapshot; symlink ancestor skew is confirmed by device/inode.",Replay lsof field output with good and malformed PIDs; query many sessions and confirm good rows survive and the fake probe executes once.,§2 Agent profiles and roots,src/integration/codex/activity.rs:107 (probe); src/integration/codex/activity.rs:37 (ActivitySnapshot),Pass,,,Pass
codex-active-resume-risk,codex,Resuming Active Codex prompts even under --no-confirm,"As a user, I want protection from two clients writing the same live rollout.",src/launch.rs risk_reasons treats Active as risky and should_confirm cannot be bypassed by --no-confirm; plans/v0.1.0-implementation.md:362 documents this pre-existing policy.,Select an Active Codex session with --no-confirm and confirm the risk prompt is still shown.,§2 Agent profiles and roots,src/launch.rs:143 (risk_reasons); src/launch.rs:161 (should_confirm),Pass,,,Pass
session-sort-order,session,"Sessions sort Active first, then by recency, unknown time last","As a user, I want currently active and then recently active sessions first.","`compare_sessions` ranks Active above Inactive above Unknown activity, then orders by last activity descending, then by stable key so the order is deterministic. product-design.md §3 requires ""last activity descending, unknown time last"". Both `--list`/`--json` (via `discover_all`) and the picker consume this same ordering.","With fixtures whose activity times differ and one whose time is unknown, run `resume --json` and confirm sessions descend by activity time with the unknown-time session last; repeat twice and confirm the order is identical.",§3 Decision metadata,src/session.rs:117 (compare_sessions); src/session.rs:43 (ActivityStatus),Pass,,,Pass
diag-non-verbose-category-aggregation,diag,Non-verbose diagnostics aggregate same-category occurrences into one summed count,"As a user, I want repeated diagnostics of the same category (e.g. many skipped Claude files) to render as a single 'category: N' line instead of N duplicate lines, so stderr stays readable.","`aggregate_diagnostics(errors, verbose=false)` groups purely by `category` (ignoring path/chain) via `aggregate_by(errors, |e| (e.category, None, None))`, summing counts into one entry per category (src/app.rs); `render_diagnostic` in non-verbose mode prints only `resume: <category>: <count>` (src/app.rs); this is the exact behavior added by the current HEAD commit 64e4cf2 (historical; behavior now further hardened by the M2 fix making print_diagnostics unconditional) 'fix: aggregate same-category diagnostics into one summed count in non-verbose mode', regression-tested by `non_verbose_diagnostics_collapse_by_category_summing_counts` which feeds 3 distinct-path claude_no_session_id diagnostics and 1 pi_skipped diagnostic, asserting exactly 2 collapsed lines with counts 3 and 2 (src/app.rs).","Craft fixtures producing 3 separate claude_no_session_id-triggering transcripts and run `resume --list` (non-verbose); confirm stderr shows exactly one line 'resume: claude_no_session_id: 3', not three separate lines.",§7 Diagnostics,src/app.rs:1288 (render_diagnostic); src/app.rs:1594 (non_verbose_diagnostics_collapse_by_category_summing_counts),Pass,,,Pass
diag-verbose-per-path-preserved,diag,Verbose diagnostics preserve distinct per-path entries while merging exact duplicates,"As a user diagnosing a discovery problem with --verbose, I want to see one line per distinct problematic file/path, not one blob per category, so I can find and fix the specific file.","`aggregate_diagnostics(errors, verbose=true)` groups by the full `(category, verbose_path, verbose_chain)` tuple, so distinct paths remain separate lines while exact duplicates (same category+path+chain) are merged and summed (src/app.rs), regression-tested by `verbose_diagnostics_keep_distinct_paths_but_merge_exact_duplicates`, which asserts 2 distinct paths remain separate while a true duplicate of path 'one.jsonl' is merged into a count of 2 (src/app.rs).","Craft fixtures producing errors on 2 distinct claude transcript paths plus one exact duplicate error, run `resume --verbose --list`, and confirm stderr shows 2 lines, with the duplicated path's line showing count 2.",§7 Diagnostics,src/app.rs:1648 (verbose_diagnostics_keep_distinct_paths_but_merge_exact_duplicates); src/app.rs:1247 (aggregate_diagnostics),Pass,,,Pass
diag-verbose-redaction,diag,"Verbose diagnostic output redacts URLs, remotes, and base64-like blobs","As a user sharing verbose diagnostic output for troubleshooting, I want URLs, git remotes, and long base64-looking blobs stripped from the path/chain text so I don't leak secrets.","`render_diagnostic` in verbose mode calls `redact_path`/`redact_text` (from `crate::diagnostics`) on `verbose_path`/`verbose_chain` before formatting the stderr line (src/app.rs); `redact_text` replaces `https://`/`http://`/`ssh://`/`git://`/`file://`/`ftp://` URLs with `[redacted-url]`, `git@host:...` remotes with `[redacted-remote]`, and 40+ char base64-alphabet runs with `[redacted-blob]` (src/diagnostics.rs), regression-tested end-to-end by `verbose_diagnostic_output_is_redacted` (src/app.rs) and at the unit level by `redact_text_removes_urls`/`redact_text_removes_git_remote`/`redact_text_removes_base64_blobs` (src/diagnostics.rs).","Force a diagnostic whose verbose_chain carries a `git@host:path` remote (a Claude transcript directory named `git@secret.example:api` produces one) and run `resume --verbose --list`; confirm stderr contains `[redacted-remote]` and never the literal host. A `https://` URL cannot be used here: it needs two consecutive slashes, which no single path component can contain, so no real diagnostic can carry one -- `redact_text` handles both forms through the same code path.",§7 Diagnostics,src/diagnostics.rs:135 (redact_text); src/app.rs:1288 (render_diagnostic); src/diagnostics.rs:126 (redact_path),Pass,,,Pass
diag-no-message-body-leak,diag,Diagnostics never include session message bodies,"As a user, I want diagnostic output to never accidentally echo the private content of my session transcripts.","`Diagnostic.verbose_chain` is always a short, static/derived description string set by integration code (e.g. ""no embedded sessionId and no cwd; skipped""), never raw message text (src/integration/claude/discover.rs (diagnostic_chain call sites, split out of mod.rs)); `no_message_body_leaks_in_normal_mode` test explicitly asserts a chain containing 'password'/'hunter2' does not leak through normal-mode rendering, which only prints category+count (src/diagnostics.rs (no_message_body_leaks_in_normal_mode)).",Search all `Diagnostic {... verbose_chain: Some(...) }` construction sites across src/integration/*/mod.rs and confirm none interpolates user message text.,§7 Diagnostics,src/diagnostics.rs:312 (no_message_body_leaks_in_normal_mode); src/integration/claude/discover.rs:41 (discover); src/integration/claude/discover.rs:222 (diagnostic_chain),Pass,,,Pass
output-list-zero-sessions,output,--list with zero sessions found prints nothing to stdout and exits 0,"As a user in a directory with no discoverable sessions, I want a clean empty result and success exit code, not an error, so scripting `resume --list | wc -l` behaves predictably.","CORRECTED: `--list` with zero sessions found does NOT print nothing — `print_list` (src/app.rs) calls `empty_list_message`, which returns `Some(""No Sessions found in Scope."")` when records is empty, so stdout gets exactly that one line, not zero lines (`resume --list | wc -l` yields 1, not 0). `discovery_exit` (src/app.rs) still returns `EXIT_OK` (0) unless zero sessions AND zero successful integrations.","Run `resume --list` in a temp HOME with valid-but-empty agent roots and confirm stdout is exactly 'No Sessions found in Scope.' with exit 0 (unit-tested by `empty_list_has_human_readable_fallback`, src/app.rs; no end-to-end --list test currently asserts this exact stdout content — E2E gap).",§6 Exit status,src/app.rs:1205 (print_list); src/app.rs:1224 (empty_list_message),Pass,,,Pass
output-list-all-integrations-fail,output,--list exits with an error only when every integration fails outright,"As a user, I want resume to distinguish 'no sessions found' (success) from 'every integration failed to even run' (error), so I can tell a real problem from an empty result.","`discovery_exit` returns `EXIT_ERROR` (1) specifically when `records.is_empty() && state.successful_integrations.load(...) == 0`, i.e. zero integrations even completed successfully, not merely zero sessions found (src/app.rs); `AgentDiscovery::failed` marks `integration_ok: false` on root-resolution failure (e.g. `pi_root_unavailable`) (src/app.rs).",Force all four agent roots to be unresolvable (e.g. by pointing every agent env var at a location resolution can't handle) and confirm `resume --list` exits 1 with diagnostics explaining each integration's failure category.,§7 List mode,src/app.rs:1308 (discovery_exit); src/app.rs:32 (EXIT_ERROR),Pass,,"src/app.rs (discover_omp): OMP returned ok even when every profile root failed to scan, so a run with no working integration still exited 0; regression test tests/step9_app.rs (omp_marks_the_integration_failed_when_every_profile_root_is_unscannable). docs/qa/run_checks.py: the check also broke the wrong directories -- an unreadable root fails is_dir() and reads as ""not installed""",Pass
output-list-one-integration-fails-others-continue,output,One failing integration does not block sessions from the others,"As a user, I want a broken/misconfigured integration (e.g. corrupted Codex root) to still let pi/claude/omp sessions come through, isolated as a diagnostic rather than aborting the whole run.","`discover_all`/`run_interactive` spawn one independent thread per agent via `discover_agent`; each thread's `AgentDiscovery` (records + errors + integration_ok) is aggregated independently into shared `DiscoveryState`/`records` (src/app.rs (discover_all), 234-308 (run_interactive)); a single agent's `AgentDiscovery::failed(category)` only contributes a diagnostic entry, never aborts other threads' results.","Break only the Codex integration (e.g. set CODEX_HOME to an unreadable/garbage path) while pi/claude/omp fixtures remain valid, run `resume --list`, and confirm pi/claude/omp sessions still appear alongside a codex_root_unavailable (or similar) diagnostic on stderr.",§7 Diagnostics,src/app.rs:229 (discover_all); src/app.rs:270 (run_interactive),Pass,,"docs/qa/run_checks.py: harness fix only. The check chmodded ~/.codex (the root Codex probes with is_dir()) instead of ~/.codex/sessions (the directory it enumerates), so Codex looked absent rather than broken",Pass
output-json-schema-envelope,output,"JSON output is exactly the v1 envelope {schemaVersion, sessions, errors}","As a tool author consuming `resume --json`, I want a stable top-level envelope with schemaVersion, sessions array, and errors array, and nothing else, so I can parse it reliably.","`JsonOutput` derives `Serialize` with fields `schema_version` (renamed `schemaVersion`, always `1`), `sessions: Vec<JsonSession>`, `errors: Vec<JsonError>` (src/app.rs); docs/json-schema.md's JSON Schema pins `required: [schemaVersion, sessions, errors]` and `additionalProperties: false` at the top level.","Run `resume --json 2>/dev/null` and validate the output against docs/json-schema.md's JSON Schema using any JSON Schema validator (e.g. `ajv`), confirming no additional top-level properties and schemaVersion == 1.",§7 List mode,src/app.rs:1123 (JsonOutput); src/app.rs:1130 (JsonSession),Pass,,,Pass
output-json-session-fields,output,"JSON session objects contain exactly agent, profile, id, title, workspace, support, activity, risk","As a tool author, I want each session object in the JSON output to have a stable, complete field set with predictable null-vs-string semantics.","`JsonSession` has exactly `agent, profile, id, title, workspace, support, activity, risk` (src/app.rs); `profile`/`title`/`workspace` become JSON `null` via `Option` fields when absent; `support`/`activity`/`risk` are rendered via `format!(""{:?}"",...)` (Rust Debug form), explicitly documented in docs/json-schema.md as NOT lower-case enums (e.g. an Active session's activity string can embed its observed_at timestamp).","Run `resume --json` and confirm each session object has exactly these 8 keys, `profile`/`title`/`workspace` are `null` when unset, and `support`/`activity`/`risk` are Rust Debug-formatted strings (e.g. `""Supported""`, `""Unknown""`, `""Normal""`).",§6 Active Sessions,src/app.rs:1130 (JsonSession),Pass,,,Pass
output-json-error-fields,output,JSON error objects contain only category and count (no verbose path/chain),"As a tool author, I want the JSON `errors` array to expose only a safe, redacted summary — never the verbose per-path diagnostic detail that stays on stderr.","`JsonError` has exactly `category: &str, count: usize` (src/app.rs); `print_json` (src/app.rs) builds `errors` from `aggregate_diagnostics(&errors_guard, false)` at src/app.rs — i.e. from the AGGREGATED diagnostics, not raw `state.errors` — before mapping to `JsonError`, so counts match the aggregated stderr rendering (this is the M5 fix; see docs/review/post-merge-review.md M5). Never includes `verbose_path`/`verbose_chain`.","Force a diagnostic with a sensitive verbose_path/verbose_chain, run `resume --json`, and confirm the JSON `errors` array entries contain only `category` and `count`, with no path/chain data, even with --verbose also passed.",§7 Diagnostics,src/app.rs:1141 (JsonError); src/app.rs:1186 (print_json); tests/step9_app.rs:447 (codex_corrupt_rollout_is_diagnosed_while_valid_sibling_survives),Pass,,,Pass
output-json-no-message-bodies,output,"JSON output carries no message bodies, only a bounded title","As a user, I want `resume --json` to omit full/raw conversation transcripts while clearly warning that Session titles may contain a bounded excerpt derived from my first message.","`JsonSession` declares no `messages` field and no raw-transcript field, satisfying product-design.md §7 (""Neither table nor JSON includes user message bodies""). Its `title` may be a native title or a bounded deterministic one-line summary derived from the first human user input per §3, so conversation-derived text can appear there — truncated — without the full message array ever being emitted.","Run `resume --json` against a fixture whose transcript contains a long multi-line user message and confirm stdout contains no field holding the message body, and that `title` is a single truncated line.",§7 List mode; §8 Privacy,src/app.rs:1130 (JsonSession),Pass,,,Pass
